"name","address","longitude","latitude","bike_stands","available_bike_stands","available_bikes"
"35010 - GERVAIS (PANTIN)","1-3 RUE DU PRE SAINT GERVAIS - 93500 PANTIN",2.40277551969,48.8910789763,24,4,19
"15012 - MADEMOISELLE","76 RUE CAMBRONNE - 75015 PARIS",2.30230766886,48.84327733,67,15,52
"20034 - SORBIER - MÉNILMONTANT","1 RUE SORBIER - 75020 PARIS",2.38979540954,48.8685264711,24,24,0
"42010 - ROBESPIERRE (IVRY)","1 RUE ROBESPIERRE - 94200 IVRY",2.38395086342,48.8108458646,53,0,53
"20009 - DOCTEUR DEJERINE","RUE DES DOCTEURS DEJERINE - 75020 PARIS",2.41205801661,48.8540232845,20,20,0
"16020 - PORTE DE PASSY","1 PLACE DE LA PORTE DE PASSY - 75016 PARIS",2.26427707208,48.857382128,35,8,27
"01013 - SAINT HONORE","186 RUE SAINT HONORE - 75001 PARIS",2.33852013115,48.8624302348,66,20,46
"04010 - SAINT PAUL PAVÉE","105-109 TERRE PLEIN SAINT PAUL - 75004 PARIS",2.36120353876,48.855023999,26,4,21
"08104 - FRIEDLAND CHATEAUBRIAND","27/31 RUE DE CHATEAUBRIAND - 75008 PARIS",2.29991625787,48.8740144756,31,30,1
"07017 - LA TOUR MAUBOURG","1 AVENUE DE LA MOTTE PICQUET - 75007 PARIS",2.31025792753,48.8572764983,39,21,12
"13123 - BIBLIOTHÈQUE FRANÇOIS MITTERAND","53 QUAI FRANCOIS MAURIAC - 75013 PARIS",2.37606810031,48.8350507158,29,8,20
"10026 - CHATEAU LANDON","2 RUE DE CHATEAU LANDON - 75010 PARIS",2.362424,48.879305,59,59,0
"14018 - PORTE D'ORLEANS","6 PLACE DU 25 AOUT 1944 - 75014 PARIS",2.32504267092,48.8228575017,47,44,3
"06010 - MONTPARNASSE CHEVREUSE","5 RUE DE CHEVREUSE - 75006 PARIS",2.33155221674,48.8417391612,15,7,7
"08018 - SAINT AUGUSTIN","18 PLACE HENRI BERGSON - 75008 PARIS",2.31979392397,48.8762011622,32,20,8
"41602 - DIGEON (SAINT MANDE)","PLACE CHARLES DIGEON - 94160 SAINT MANDE",2.41831747657,48.8435469599,32,3,29
"05030 - SORBONNE","5 RUE DE LA SORBONNE - 75005 PARIS",2.34357357573,48.8497703706,50,6,44
"21103 - HUGO (CLICHY)","94-98 BOULEVARD VICTOR HUGO - 92110 CLICHY",2.31712992066,48.9014601568,25,9,16
"19008 - CORENTIN CARIOU","177 AVENUE DE FLANDRE - 75019 PARIS",2.38186872951,48.89465025,25,0,24
"42704 - ROSSEL (LE KREMLIN BICETRE)","RUE ROSSEL / AVENUE DE LA CONVENTION - 94270 LE KREMLIN BICETRE",2.35697189329,48.8120128143,25,21,4
"15022 - ZOLA","143 AVENUE EMILE ZOLA - 75015 PARIS",2.29623845051,48.8470986841,39,5,34
"03002 - SAINT GILLES","26 RUE SAINT GILLES - 75003 PARIS",2.3647149921,48.8581589568,18,2,16
"16039 - VERSAILLES EXELMANS","27 BOULEVARD EXELMANS - 75016 PARIS",2.26439411808,48.8409629526,46,9,36
"07019 - ECOLE MILITAIRE","85 AVENUE BOSQUET - 75007 PARIS",2.3054786342,48.854951168,47,12,34
"01005 - LES HALLES - SEBASTOPOL","3 RUE DE LA COSSONNERIE - 75001 PARIS",2.34939999975,48.8612620698,33,4,29
"22402 - JAURES (MALAKOFF)","10 AVENUE JEAN JAURES - 92240 MALAKOFF",2.30289945997,48.8214600798,50,48,2
"21210 - PERI 2 (MONTROUGE)","8 RUE GABRIEL PERI - 92120 MONTROUGE",2.3240312783,48.8178170939,32,30,2
"17024 - VILLIERS","1/3 PLACE PROSPER GOUBAUX - 75017 PARIS",2.3164496408,48.8812083328,12,9,3
"13054 - PAU CASALS","1 RUE PAU CASALS - 75013 PARIS",2.37726323688,48.8312449684,54,6,46
"22405 - NORD (MALAKOFF)","ANGLE PASSAGE DU NORD / GABRIEL PERI - 92240 MALAKOFF",2.30047686505,48.8193391584,25,23,2
"08051 - CHAPTAL","45 BD BATIGNOLLES - 75008 PARIS",2.320284,48.881914,14,6,8
"18109 - RIQUET PAJOL","55 RUE PAJOL - 75018 PARIS",2.36285360426,48.8895969709,46,35,9
"07025 - SUFFREN TOUR EIFFEL","2 AVENUE OCTAVE CREARD - 75007 PARIS",2.29317875433,48.8565029777,33,24,9
"10003 - HAUTEVILLE","1 RUE D'HAUTEVILLE - 75010 PARIS",2.34964963683,48.8707743602,17,0,15
"06028 - ODEON QUATRE VENTS","6 RUE DES QUATRE VENTS - 75006 PARIS",2.33816169513,48.8517513745,36,0,36
"11026 - CHEMIN VERT SAINT MAUR","105 RUE DU CHEMIN VERT - 75011 PARIS",2.38130190492,48.8611944193,46,42,4
